"species","lon","lat"
"piaya_therma","-94.53500084","17.98602307"
"piaya_therma","-91.57666734","17.02768968"
"piaya_therma","-89.24333388","18.6110231"
"piaya_therma","-84.32666694","10.94435601"
"piaya_therma","-79.36833333","9.236022577"
"piaya_therma","-92.61833407","17.77768972"
"piaya_therma","-89.36833389","13.65268949"
"piaya_therma","-85.16000032","12.06935607"
"piaya_therma","-88.91000053","20.61102321"
"piaya_therma","-87.45166711","15.77768961"
"piaya_therma","-93.03500076","15.56935627"
"piaya_therma","-88.99333386","15.6526896"
"piaya_therma","-87.91000047","15.02768957"
"piaya_therma","-86.36833372","12.98602279"
"piaya_therma","-77.82666657","8.361022528"
"piaya_therma","-86.53500039","13.61102282"
"piaya_therma","-94.61833418","16.44435631"
"piaya_therma","-96.91000097","19.61102316"
"piaya_therma","-88.11833382","13.94435617"
"piaya_therma","-83.57666689","14.06935618"
"piaya_therma","-93.74333413","16.69435633"
"piaya_therma","-89.0766672","13.86102284"
"piaya_therma","-90.41000061","19.98602318"
"piaya_therma","-85.07666698","12.27768941"
"piaya_therma","-89.6183339","13.86102284"
"piaya_therma","-79.535","8.944355894"
"piaya_therma","-89.20166721","16.06935629"
"piaya_therma","-85.16000032","13.94435617"
"piaya_therma","-89.95166725","18.36102309"
"piaya_therma","-88.61833384","16.52768965"
"piaya_therma","-98.41000106","23.65269005"
"piaya_therma","-84.74333363","9.986022619"
"piaya_therma","-98.95166776","23.73602339"
"piaya_therma","-86.20166704","11.90268939"
"piaya_therma","-91.53500067","14.73602289"
"piaya_therma","-98.95166776","22.73602333"
"piaya_therma","-91.16000065","14.40268953"
"piaya_therma","-90.07666726","13.81935617"
"piaya_therma","-98.86833442","21.94435662"
"piaya_therma","-90.70166729","15.73602294"
"piaya_therma","-99.1600011","23.02769002"
"piaya_therma","-92.07666737","16.94435634"
"piaya_therma","-98.24333438","20.31935653"
"piaya_therma","-95.82666758","18.06935641"
"piaya_therma","-78.82666663","9.152689239"
"piaya_therma","-98.03500104","20.15268986"
"piaya_therma","-88.70166718","18.81935645"
"piaya_therma","-89.99333392","17.77768972"
"piaya_therma","-83.57666689","10.77768933"
"piaya_therma","-85.20166699","15.40268959"
"piaya_therma","-88.32666716","17.52768971"
